Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
Fisker Ocean Ultra,100 kWh useable battery          Available since March 2023,4.2 sec,200,510,196,730,All Wheel Drive,5,"57,000","49,880"
Fisker Ocean Extreme,100 kWh useable battery          Available since March 2023,3.9 sec,200,510,196,730,All Wheel Drive,5,"69,950","60,880"
Fisker Ocean One,100 kWh useable battery          Available since March 2023,3.9 sec,200,510,196,730,All Wheel Drive,5,"69,950","60,880"
Mercedes EQE 300,89 kWh useable battery          Available since July 2022,7.6 sec,210,515,173,650,Rear Wheel Drive,5,"66,402","74,345"
Mercedes EQE 350,89 kWh useable battery          Available since July 2022,6.4 sec,210,515,173,650,Rear Wheel Drive,5,"70,210","77,345"
Mercedes EQE 350 4MATIC,90.6 kWh useable battery          Available since July 2022,6.3 sec,210,500,181,750,All Wheel Drive,5,"73,363",N/A
Mercedes EQE 500 4MATIC,90.6 kWh useable battery          Available since July 2022,4.7 sec,210,500,181,750,All Wheel Drive,5,"87,286",N/A
Hyundai IONIQ 6 Standard Range 2WD,54 kWh useable battery          Available since January 2023,8.8 sec,185,360,150,880,Rear Wheel Drive,5,"43,900",N/A
Hyundai IONIQ 6 Long Range 2WD,74 kWh useable battery          Available since December 2022,7.4 sec,185,475,156,1240,Rear Wheel Drive,5,"54,000","46,745"
Hyundai IONIQ 6 Long Range AWD,74 kWh useable battery          Available since November 2022,5.1 sec,185,440,168,1150,All Wheel Drive,5,"61,100","50,245"
Audi Q4 Sportback e-tron 45 quattro,76.6 kWh useable battery          Available since July 2022,6.9 sec,180,400,192,500,All Wheel Drive,5,"55,900",N/A
Fiat E-Ulysse L2 50 kWh,46.3 kWh useable battery          Available since June 2022,12.1 sec,130,185,250,290,Front Wheel Drive,7,"55,990",N/A
Fiat E-Ulysse L2 75 kWh,68 kWh useable battery          Available since June 2022,13.3 sec,130,265,257,290,Front Wheel Drive,7,"61,990",N/A
Fiat E-Ulysse L3 50 kWh,46.3 kWh useable battery          Available since June 2022,12.1 sec,130,180,257,290,Front Wheel Drive,7,"56,990",N/A
Fiat E-Ulysse L3 75 kWh,68 kWh useable battery          Available since June 2022,13.3 sec,130,260,262,280,Front Wheel Drive,7,"62,990",N/A
Genesis GV70 Electrified Sport,74 kWh useable battery          Available since October 2022,4.2 sec,235,350,211,860,All Wheel Drive,5,"67,300","64,405"
Fiat 500e 3+1 24 kWh,21.3 kWh useable battery          Available since July 2022,9.0 sec,135,135,158,230,Front Wheel Drive,4,N/A,N/A
Fiat 500e Cabrio 24 kWh,21.3 kWh useable battery          Available since July 2022,9.0 sec,135,135,158,230,Front Wheel Drive,4,"35,490",N/A
Tesla Model Y ,57.5 kWh useable battery          Available since November 2022,6.9 sec,217,345,167,580,Rear Wheel Drive,5,"47,567","44,990"
Peugeot e-308 ,50.8 kWh useable battery          Expected from May 2023,9.0 sec,150,310,164,460,Front Wheel Drive,5,"44,000","37,000"
Peugeot e-308 SW ,50.8 kWh useable battery          Expected from May 2023,9.0 sec,150,300,169,450,Front Wheel Drive,5,"45,000","38,000"
Hongqi E-HS9 84 kWh,76.5 kWh useable battery          Available since December 2022,6.5 sec,200,305,251,420,All Wheel Drive,5,N/A,N/A
Hongqi E-HS9 99 kWh,90 kWh useable battery          Available since December 2022,4.9 sec,200,355,254,410,All Wheel Drive,5,N/A,N/A
Smart #1 Brabus,62 kWh useable battery          Available since March 2023,3.9 sec,180,320,194,490,All Wheel Drive,5,"48,990","42,000"
Kia e-Soul 64 kWh,64 kWh useable battery          Available since September 2022,7.9 sec,167,370,173,350,Front Wheel Drive,5,"46,950","39,045"
Kia e-Soul 39.2 kWh,39.2 kWh useable battery          Available since September 2022,9.9 sec,157,230,170,200,Front Wheel Drive,5,N/A,"32,845"
NIO ET7 75 kWh,70.5 kWh useable battery          Available since October 2022,3.8 sec,200,400,176,540,All Wheel Drive,5,"81,900",N/A
NIO ET7 100 kWh,90 kWh useable battery          Available since October 2022,3.8 sec,200,505,178,530,All Wheel Drive,5,"90,900",N/A
Ford Mustang Mach-E SR RWD,70 kWh useable battery          Available since November 2022,6.9 sec,180,355,197,370,Rear Wheel Drive,5,"62,900","50,830"
Ford Mustang Mach-E ER RWD,91 kWh useable battery          Available since November 2022,7.0 sec,180,455,200,400,Rear Wheel Drive,5,"71,200","59,380"
Ford Mustang Mach-E SR AWD,70 kWh useable battery          Available since November 2022,6.3 sec,180,345,203,360,All Wheel Drive,5,"69,200",N/A
Ford Mustang Mach-E ER AWD,91 kWh useable battery          Available since November 2022,5.8 sec,180,440,207,390,All Wheel Drive,5,"77,200","65,405"
Ford Mustang Mach-E GT,91 kWh useable battery          Available since November 2022,4.4 sec,200,425,214,380,All Wheel Drive,5,"86,200","74,540"
Polestar 3 Long Range Dual motor,107 kWh useable battery          Available since November 2022,5.0 sec,210,490,218,640,All Wheel Drive,5,"88,600","79,900"
Polestar 3 Long Range Performance,107 kWh useable battery          Available since November 2022,4.7 sec,210,470,228,610,All Wheel Drive,5,"95,200","85,500"
Mercedes EQE SUV 350+,90.6 kWh useable battery          Available since December 2022,7.0 sec,210,470,193,700,Rear Wheel Drive,5,"90,000",N/A
Mercedes EQE SUV 350 4MATIC,90.6 kWh useable battery          Available since December 2022,6.5 sec,210,455,199,680,All Wheel Drive,5,"95,000","90,560"
Mercedes EQE SUV 500 4MATIC,90.6 kWh useable battery          Available since December 2022,5.0 sec,210,455,199,680,All Wheel Drive,5,"115,000","108,760"
Mercedes EQE SUV AMG 43 4MATIC,90.6 kWh useable battery          Available since December 2022,4.3 sec,210,435,208,650,All Wheel Drive,5,"124,920",N/A
Mercedes EQE SUV AMG 53 4MATIC+,90.6 kWh useable battery          Expected from May 2023,3.5 sec,240,425,213,630,All Wheel Drive,5,"130,000","120,000"
Rolls-Royce Spectre ,100 kWh useable battery          Expected from November 2023,4.5 sec,250,455,220,540,All Wheel Drive,4,"400,000","350,000"
Aiways U6 ,60 kWh useable battery          Available since December 2022,7.0 sec,160,350,171,430,Front Wheel Drive,5,"47,588",N/A
Lotus Eletre ,107 kWh useable battery          Available since March 2023,4.5 sec,250,520,206,1090,All Wheel Drive,5,"95,990","89,500"
Lotus Eletre R,107 kWh useable battery          Available since March 2023,2.9 sec,260,450,238,940,All Wheel Drive,5,"150,990","120,000"
Audi Q8 e-tron 50 quattro,89 kWh useable battery          Available since December 2022,6.0 sec,200,415,214,580,All Wheel Drive,5,"74,400","67,800"
Audi Q8 e-tron 55 quattro,106 kWh useable battery          Available since December 2022,5.6 sec,200,495,214,670,All Wheel Drive,5,"85,300","77,800"
Audi Q8 e-tron Sportback 50 quattro,89 kWh useable battery          Available since December 2022,6.0 sec,200,440,202,610,All Wheel Drive,5,"76,650","70,300"
Audi Q8 e-tron Sportback 55 quattro,106 kWh useable battery          Available since December 2022,5.6 sec,200,525,202,710,All Wheel Drive,5,"87,550","80,300"
Audi SQ8 e-tron ,106 kWh useable battery          Expected from May 2023,4.5 sec,210,445,238,600,All Wheel Drive,5,"110,000","98,295"
Audi SQ8 e-tron Sportback ,106 kWh useable battery          Expected from May 2023,4.5 sec,210,470,226,630,All Wheel Drive,5,"115,000","100,795"
Volvo EX90 Twin Motor,107 kWh useable battery          Available since December 2022,5.9 sec,180,455,235,590,All Wheel Drive,7,"105,550","96,255"
Volvo EX90 Twin Motor Performance,107 kWh useable battery          Available since December 2022,4.9 sec,180,440,243,570,All Wheel Drive,7,"110,650","100,555"
Mercedes EQB 250+,70.5 kWh useable battery          Available since November 2022,8.9 sec,160,365,193,490,Front Wheel Drive,7,"53,978",N/A
Toyota Proace City Verso Electric L1 50 kWh,46.3 kWh useable battery          Available since April 2022,11.2 sec,135,210,220,330,Front Wheel Drive,5,"37,800",N/A
Toyota Proace City Verso Electric L2 50 kWh,46.3 kWh useable battery          Available since April 2022,11.2 sec,135,205,226,330,Front Wheel Drive,7,"40,150",N/A
ORA Funky Cat 48 kWh,45.4 kWh useable battery          Available since November 2022,8.3 sec,160,260,175,240,Front Wheel Drive,5,"38,990","31,995"
BYD ATTO 3 ,60 kWh useable battery          Available since August 2022,7.3 sec,160,320,188,300,Front Wheel Drive,5,"44,625","36,490"
BYD TANG ,84 kWh useable battery          Available since August 2022,4.6 sec,180,350,240,330,All Wheel Drive,7,"71,400",N/A
BYD HAN ,83 kWh useable battery          Available since March 2023,3.9 sec,180,465,178,450,All Wheel Drive,5,"70,805",N/A
BMW i4 eDrive35,67 kWh useable battery          Available since November 2022,6.0 sec,190,400,168,540,Rear Wheel Drive,5,"56,500","49,995"
NIO ET5 75 kWh,70.5 kWh useable battery          Available since December 2022,4.0 sec,200,395,178,530,All Wheel Drive,5,"59,500",N/A
NIO ET5 100 kWh,90 kWh useable battery          Available since December 2022,4.0 sec,200,495,182,520,All Wheel Drive,5,"68,500",N/A
NIO EL7 75 kWh,70.5 kWh useable battery          Available since December 2022,3.9 sec,200,340,207,460,All Wheel Drive,5,"85,900",N/A
NIO EL7 100 kWh,90 kWh useable battery          Available since December 2022,3.9 sec,200,430,209,450,All Wheel Drive,5,"94,900",N/A
Abarth 500e Scorpionissima,37.3 kWh useable battery          Available since January 2023,7.0 sec,155,225,166,370,Front Wheel Drive,4,"43,000","36,000"
DS 3 E-Tense,50.8 kWh useable battery          Available since November 2022,9.0 sec,150,300,169,480,Front Wheel Drive,5,"40,540","37,200"
Opel Astra Electric,50.8 kWh useable battery          Expected from May 2023,8.5 sec,170,310,164,500,Front Wheel Drive,5,"40,000","36,000"
Opel Astra Sports Tourer Electric,50.8 kWh useable battery          Expected from May 2023,8.5 sec,170,300,169,480,Front Wheel Drive,5,"42,000","37,000"
Jeep Avenger Electric 1st Edition,50.8 kWh useable battery          Available since January 2023,9.0 sec,150,295,172,470,Front Wheel Drive,5,"39,900","36,500"
Mercedes EQS SUV 500 4MATIC,108.4 kWh useable battery          Available since December 2022,5.2 sec,210,485,224,630,All Wheel Drive,7,"124,545",N/A
Volvo XC40 Recharge Single Motor,66 kWh useable battery          Available since December 2022,7.3 sec,180,345,191,420,Rear Wheel Drive,5,"47,500","46,505"
Volvo XC40 Recharge Single Motor ER,79 kWh useable battery          Available since December 2022,7.3 sec,180,405,195,600,Rear Wheel Drive,5,"53,000",N/A
Volvo XC40 Recharge Twin Motor,79 kWh useable battery          Available since December 2022,4.8 sec,180,390,203,580,All Wheel Drive,5,"59,950","51,755"
Volvo C40 Recharge Single Motor,66 kWh useable battery          Available since December 2022,7.3 sec,180,355,186,430,Rear Wheel Drive,5,"47,500","48,355"
Volvo C40 Recharge Single Motor ER,79 kWh useable battery          Available since December 2022,7.3 sec,180,420,188,630,Rear Wheel Drive,5,"54,450",N/A
Volvo C40 Recharge Twin Motor,79 kWh useable battery          Available since December 2022,4.7 sec,180,400,198,600,All Wheel Drive,5,"61,400","53,605"
Renault Kangoo E-Tech Electric,44 kWh useable battery          Available since December 2022,12.6 sec,132,215,205,230,Front Wheel Drive,5,"39,300",N/A
Maserati GranTurismo Folgore,83 kWh useable battery          Expected from June 2023,2.7 sec,320,425,195,990,All Wheel Drive,4,"250,000","200,000"
Seres 3 ,51 kWh useable battery          Available since October 2021,8.9 sec,155,260,196,240,Front Wheel Drive,5,N/A,N/A
VinFast VF 8 Eco Standard Range,82 kWh useable battery          Expected from May 2023,5.9 sec,200,405,202,560,All Wheel Drive,5,"61,700",N/A
VinFast VF 8 Eco Extended Range,87.7 kWh useable battery          Expected from May 2023,5.9 sec,200,425,206,550,All Wheel Drive,5,"63,850",N/A
VinFast VF 8 Plus Standard Range,82 kWh useable battery          Expected from May 2023,5.5 sec,200,400,205,560,All Wheel Drive,5,"68,700",N/A
VinFast VF 8 Plus Extended Range,87.7 kWh useable battery          Expected from May 2023,5.5 sec,200,425,206,550,All Wheel Drive,5,"72,500",N/A
VinFast VF 9 Standard Range,92 kWh useable battery          Expected from June 2023,6.5 sec,200,400,230,540,All Wheel Drive,7,"82,250",N/A
VinFast VF 9 Extended Range,123 kWh useable battery          Expected from June 2023,6.5 sec,200,520,237,520,All Wheel Drive,7,"89,800",N/A
Jaguar I-Pace EV400,84.7 kWh useable battery          Available since January 2023,4.8 sec,200,380,223,360,All Wheel Drive,5,"92,400","69,995"
Dacia Spring Electric 65 Extreme,25 kWh useable battery          Available since January 2023,13.7 sec,125,160,156,170,Front Wheel Drive,4,"24,550",N/A
ORA Funky Cat 63 kWh,59.3 kWh useable battery          Available since April 2023,8.2 sec,160,340,174,240,Front Wheel Drive,5,"44,490",N/A
ORA Funky Cat GT,59.3 kWh useable battery          Available since April 2023,8.2 sec,160,330,180,230,Front Wheel Drive,5,"49,490",N/A
Jeep Avenger Electric ,50.8 kWh useable battery          Available since January 2023,9.0 sec,150,300,169,480,Front Wheel Drive,5,"37,000","34,800"
Polestar 2 Standard Range Single Motor,67 kWh useable battery          Available since January 2023,6.4 sec,205,385,174,620,Rear Wheel Drive,5,"50,775","44,950"
Polestar 2 Long Range Single Motor,78 kWh useable battery          Available since January 2023,6.2 sec,205,440,177,680,Rear Wheel Drive,5,"54,475","48,950"
Polestar 2 Long Range Dual Motor,78 kWh useable battery          Available since January 2023,4.5 sec,205,420,186,650,All Wheel Drive,5,"58,775","52,950"
Polestar 2 Long Range Performance,78 kWh useable battery          Available since January 2023,4.2 sec,205,410,190,630,All Wheel Drive,5,"65,275","57,950"
XPENG P7 RWD Long Range,82.7 kWh useable battery          Available since February 2023,6.7 sec,200,500,165,700,Rear Wheel Drive,5,N/A,N/A
XPENG P7 AWD Performance,82.7 kWh useable battery          Available since February 2023,4.1 sec,200,470,176,650,All Wheel Drive,5,N/A,N/A
XPENG P7 Wing Edition,82.7 kWh useable battery          Available since February 2023,4.1 sec,200,465,178,650,All Wheel Drive,5,N/A,N/A
XPENG G9 RWD Standard Range,75 kWh useable battery          Available since February 2023,6.4 sec,200,375,200,780,Rear Wheel Drive,5,N/A,N/A
XPENG G9 RWD Long Range,94 kWh useable battery          Available since February 2023,6.4 sec,200,470,200,980,Rear Wheel Drive,5,N/A,N/A
XPENG G9 AWD Long Range,94 kWh useable battery          Available since February 2023,3.9 sec,200,440,214,920,All Wheel Drive,5,N/A,N/A
Mini Cooper SE Convertible,28.9 kWh useable battery          Available since April 2023,8.2 sec,150,170,170,240,Front Wheel Drive,4,"60,000","52,500"
Volkswagen ID.4 GTX,77 kWh useable battery          Available since July 2022,6.3 sec,180,400,193,560,All Wheel Drive,5,"53,255","52,865"
Hyundai Kona Electric 48 kWh,48.4 kWh useable battery          Expected from September 2023,10.0 sec,155,300,161,290,Front Wheel Drive,5,"40,000","35,000"
Hyundai Kona Electric 65 kWh,65.4 kWh useable battery          Expected from September 2023,8.0 sec,167,400,164,410,Front Wheel Drive,5,"48,000","40,000"
Volkswagen ID.3 Pro,58 kWh useable battery          Available since March 2023,7.3 sec,160,350,166,450,Rear Wheel Drive,5,"39,995","35,000"
Volkswagen ID.3 Pro S - 4 Seats,77 kWh useable battery          Available since March 2023,7.9 sec,160,455,169,680,Rear Wheel Drive,4,"47,595","43,000"
Kia EV9 99.8 kWh RWD,99.8 kWh useable battery          Expected from September 2023,9.4 sec,180,460,217,870,Rear Wheel Drive,7,"65,000","60,000"
Kia EV9 99.8 kWh AWD,99.8 kWh useable battery          Expected from September 2023,5.3 sec,180,450,222,850,All Wheel Drive,7,"70,000","65,000"
Peugeot e-208 ,48.1 kWh useable battery          Available since November 2022,8.2 sec,150,310,155,480,Front Wheel Drive,5,"41,850","34,955"
Maxus MIFA 9 ,90 kWh useable battery          Available since February 2023,9.2 sec,180,345,261,290,Front Wheel Drive,7,N/A,"64,306"
BMW i7 M70 xDrive,101.7 kWh useable battery          Expected from September 2023,3.7 sec,250,490,208,730,All Wheel Drive,5,"200,000","175,000"
Volkswagen ID.7 Pro,77 kWh useable battery          Expected from October 2023,8.0 sec,180,470,164,700,Rear Wheel Drive,5,"55,000","53,000"
Volkswagen ID.7 Pro S,86 kWh useable battery          Expected from October 2023,7.0 sec,180,520,165,800,Rear Wheel Drive,5,"60,000","56,000"
Polestar 4 Long Range Single Motor,94 kWh useable battery          Expected from February 2024,7.4 sec,180,510,184,760,Rear Wheel Drive,5,"60,000","55,000"
Polestar 4 Long Range Dual Motor,94 kWh useable battery          Expected from February 2024,3.8 sec,200,475,198,710,All Wheel Drive,5,"65,000","60,000"
Maserati Grecale Folgore,95 kWh useable battery          Expected from September 2023,4.1 sec,220,405,235,440,All Wheel Drive,5,N/A,"135,000"
